#{"t_start": 1522494660.6319315, "env_id": "HalfCheetah-v2"}
r,l,t
-394.473846,1000,6.535903
-336.583234,1000,10.719956
-310.446391,1000,14.961136
-471.099677,1000,19.051195
-409.264856,1000,23.293221
-415.021676,1000,27.4959
-782.702754,1000,31.738059
-448.79872,1000,35.907099
-330.863284,1000,40.061186
-359.407867,1000,44.278405
-342.747854,1000,48.485398
-247.032481,1000,52.658115
-434.722998,1000,56.730295
-111.792629,1000,60.946738
-55.614833,1000,65.153754
-323.417417,1000,69.311363
-316.376375,1000,73.391704
-380.38057,1000,77.512777
-396.836649,1000,81.69624
-338.4783,1000,85.831377
-537.006617,1000,89.952731
-366.555035,1000,94.033146
-561.282954,1000,98.214909
-210.761143,1000,102.410426
-93.151009,1000,106.567199
-500.0593,1000,110.626422
-187.023275,1000,114.840432
-544.612408,1000,118.986616
183.46221,1000,123.172692
-7.446757,1000,127.223712
-135.042618,1000,131.416624
-120.985494,1000,135.596199
215.433634,1000,139.808537
13.289832,1000,143.921785
-51.82101,1000,148.092401
609.875006,1000,152.247815
614.207176,1000,156.446117
752.715404,1000,160.606577
702.38187,1000,164.751631
446.367392,1000,168.898288
926.703197,1000,173.107201
845.571566,1000,177.250883
-502.473093,1000,181.354767
998.581012,1000,185.505089
-462.886614,1000,189.715218
258.950011,1000,193.87068
676.571198,1000,198.013114
852.840246,1000,202.175938
235.902556,1000,206.376182
1267.017749,1000,210.521733
850.844494,1000,214.679374
-493.140068,1000,218.779737
-290.7368,1000,222.975726
482.324934,1000,227.116283
1126.175627,1000,231.352496
519.047046,1000,235.393057
252.052538,1000,239.597529
-314.928741,1000,243.750013
62.093766,1000,248.015212
1249.737322,1000,252.071267
1147.837552,1000,256.294313
-3.319575,1000,260.448797
979.81157,1000,264.667051
-173.983164,1000,268.761974
1348.556541,1000,272.936687
1299.721958,1000,277.090099
1121.076945,1000,281.311954
1072.689199,1000,285.414132
1276.002986,1000,289.531148
402.653139,1000,293.668325
1531.502331,1000,297.911362
-142.924008,1000,302.101317
-568.452108,1000,306.296869
-572.315806,1000,310.460383
1585.387294,1000,314.726873
-501.204238,1000,318.940274
-560.414784,1000,323.225161
1460.716153,1000,327.293308
-234.144515,1000,331.579697
-565.626701,1000,335.753345
-582.159644,1000,340.035533
