total/epochs,rollout/Q_mean,obs_rms_std,total/steps,reference_action_std,reference_actor_Q_std,train/param_noise_distance,obs_rms_mean,rollout/return,rollout/episodes,total/duration,reference_Q_std,train/loss_critic,total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return_history,total/steps_per_second,train/loss_actor,rollout/episode_steps,rollout/actions_mean,reference_Q_mean,reference_action_mean,param_noise_stddev,rollout/actions_std,reference_perturbed_action_mean
1,-1.1073447465896606,1.6057941913604736,2000,0.9488934278488159,1.404425859451294,0.35957273840904236,0.09809950739145279,-365.5285398298163,2.0,8.56522536277771,1.4710618257522583,0.1424315869808197,2.0,0.6297630667686462,1.1484060287475586,-365.5285398298163,233.50232075521225,-0.9204885363578796,1000.0,0.2345469743013382,-0.21729056537151337,0.015235493890941143,0.1639088940674591,0.6756328344345093,0.30316057801246643
2,-0.259707510471344,1.320169448852539,4000,0.8500089049339294,1.0588432550430298,0.8453633785247803,0.08949806541204453,-378.15078688327594,4.0,16.972885370254517,1.2829135656356812,0.14761289954185486,4.0,0.7783780694007874,1.4725966453552246,-378.15078688327594,235.6700061740898,-1.738876223564148,1000.0,0.2425673007965088,1.0275275707244873,0.15548758208751678,0.15136711368692907,0.7151613235473633,0.11365955322980881
3,0.3888188898563385,1.1786819696426392,6000,0.7676671147346497,0.8195485472679138,0.5029991865158081,0.09291453659534454,-389.4816132749183,6.0,25.342442750930786,0.9622281193733215,0.3340657353401184,6.0,0.7333458662033081,1.66168212890625,-389.4816132749183,236.75697165300411,-2.5856387615203857,1000.0,0.25947248935699463,1.2933862209320068,0.3144649565219879,0.12405208101303944,0.7237940430641174,0.31605663895606995
4,1.2490522861480713,1.2150362730026245,8000,0.8442285656929016,1.4101780652999878,0.5297242403030396,0.09437289834022522,-446.0488941487315,8.0,33.794004678726196,1.458412766456604,0.24811866879463196,8.0,0.8107412457466125,3.8704044818878174,-446.0488941487315,236.72838055313738,-4.869797229766846,1000.0,0.3071092963218689,3.1600515842437744,-0.06291738897562027,0.10166619702807067,0.7134221196174622,0.17049698531627655
5,2.493887186050415,1.2504534721374512,10000,0.8311325311660767,1.1586838960647583,0.5543696284294128,0.09679234027862549,-425.86623045965126,10.0,42.12231945991516,1.2836616039276123,0.19319821894168854,10.0,0.7837677001953125,5.205645561218262,-425.86623045965126,237.4038307533443,-6.408216953277588,1000.0,0.3137059807777405,4.623717308044434,0.01388974953442812,0.0833199695945773,0.7104985117912292,0.2067967802286148
6,3.4036030769348145,1.3506029844284058,12000,0.805477499961853,1.6922889947891235,0.3780381977558136,0.10521771013736725,-404.0368866274337,12.0,50.499760389328,1.6120142936706543,0.2763827443122864,12.0,0.7511289119720459,5.914700508117676,-404.0368866274337,237.62488985068396,-7.919215202331543,1000.0,0.33756890892982483,5.281345367431641,0.24728547036647797,0.0682844203499074,0.6981498003005981,0.436393141746521
7,4.352148056030273,1.447492003440857,14000,0.7730180621147156,1.665279507637024,0.3788571357727051,0.10890734940767288,-385.35416185901823,14.0,58.79519081115723,1.7410064935684204,0.20632517337799072,14.0,0.7535639405250549,7.229532241821289,-385.35416185901823,238.11471324187454,-8.50805950164795,1000.0,0.3599769175052643,6.672842979431152,0.22762317955493927,0.055962119107954095,0.6916906237602234,0.21898935735225677
8,4.786650657653809,1.527701497077942,16000,0.8128916621208191,2.611135959625244,0.24525031447410583,0.11344584822654724,-360.8744072317505,16.0,67.15284252166748,2.504868268966675,0.3131508231163025,16.0,0.7471924424171448,7.724157333374023,-360.8744072317505,238.26243832995533,-9.497196197509766,1000.0,0.33025914430618286,7.264054775238037,-0.02604961395263672,0.045863445263280886,0.6977683901786804,-0.014433513395488262
9,4.709506511688232,1.472974181175232,18000,0.8089122176170349,3.9254212379455566,0.2308834046125412,0.11565632373094559,-359.48597004241014,18.0,75.37026405334473,3.8875536918640137,0.28105735778808594,18.0,0.7991776466369629,8.426837921142578,-359.48597004241014,238.82097570018013,-10.048078536987305,1000.0,0.2753423750400543,7.941165924072266,-0.020981719717383385,0.039113321278561465,0.7245314717292786,-0.09590362757444382
10,4.893733501434326,1.4458951950073242,20000,0.8330866098403931,5.481627464294434,0.2853517234325409,0.11430056393146515,-360.30312051064953,20.0,83.67850065231323,5.206772804260254,0.5710446834564209,20.0,0.8356091380119324,9.036611557006836,-360.30312051064953,239.01001863191385,-10.525429725646973,1000.0,0.22416561841964722,8.470158576965332,0.19720809161663055,0.03540877950819716,0.7501235604286194,0.16396884620189667
11,4.570529937744141,1.4439787864685059,22000,0.7870363593101501,7.73861837387085,0.17346124351024628,0.11842095106840134,-368.61927556758695,22.0,91.88555073738098,7.607787132263184,0.22013932466506958,22.0,0.7659014463424683,9.64327621459961,-368.61927556758695,239.4282868574018,-10.547514915466309,1000.0,0.1962522566318512,9.01545524597168,0.36991357803344727,0.03335667202186392,0.7674767971038818,0.4038771092891693
12,4.981589317321777,1.5401971340179443,24000,0.8156155943870544,10.706233978271484,0.26115190982818604,0.12007347494363785,-370.06950665729846,24.0,100.25222301483154,10.493672370910645,0.386646568775177,24.0,0.8296998143196106,8.987388610839844,-370.06950665729846,239.39618771794602,-10.306479454040527,1000.0,0.19058671593666077,8.605764389038086,0.3173968493938446,0.034027141129503384,0.764716625213623,0.3298828601837158
13,5.147925853729248,1.5067870616912842,26000,0.8753465414047241,12.838491439819336,0.18182063102722168,0.12006465345621109,-364.4184026404204,26.0,108.46791625022888,12.465853691101074,0.5040963888168335,26.0,0.8788785934448242,8.644508361816406,-364.4184026404204,239.70221701336627,-10.248263359069824,1000.0,0.18392591178417206,8.183980941772461,0.1667291522026062,0.032055106170371106,0.7685694694519043,0.11970081180334091
14,5.27911376953125,1.5390275716781616,28000,0.8418072462081909,14.482322692871094,0.16478687524795532,0.12225441634654999,-364.51836257037803,28.0,116.83031463623047,14.167379379272461,0.3400252163410187,28.0,0.8432613015174866,7.918355941772461,-364.51836257037803,239.66382430093077,-9.351552963256836,1000.0,0.17957408726215363,7.471263885498047,0.3151220977306366,0.03269941380439557,0.7715262770652771,0.3163220286369324
15,6.286592483520508,1.6320531368255615,30000,0.8648282289505005,16.47606086730957,0.1431952267885208,0.12110330164432526,-334.3499566278848,30.0,125.0938332080841,16.137901306152344,0.5788190960884094,30.0,0.8534968495368958,7.525055885314941,-334.3499566278848,239.81997537878047,-9.656963348388672,1000.0,0.17260418832302094,6.883063316345215,0.19379152357578278,0.03335667202186392,0.7642524838447571,0.17753130197525024
16,7.189429759979248,1.6614655256271362,32000,0.8683634400367737,17.861268997192383,0.1975199431180954,0.1188943088054657,-321.4539628392344,32.0,133.44427514076233,17.594091415405273,0.4843631386756897,32.0,0.8748221397399902,7.331790447235107,-321.4539628392344,239.80047076763037,-9.213873863220215,1000.0,0.16346631944179535,6.819918632507324,0.16922889649868011,0.03612049597631192,0.7592102885246277,0.12482426315546036
